date,link,text
2019-11-06 11:51,https://allentown.craigslist.org/egr/d/quakertown-telecommunications/7014768663.html,Telecommunications Technician (Field Construction)
2019-10-28 20:51,https://allentown.craigslist.org/egr/d/hellertown-junior-architectural-designer/7009128740.html,Junior Architectural Designer
2019-10-30 16:54,https://reading.craigslist.org/egr/d/reading-architectural-designer-drafter/7010385137.html,ARCHITECTURAL DESIGNER/DRAFTER
2019-11-15 11:57,https://delaware.craigslist.org/egr/d/rehoboth-beach-land-survey-party-chief/7020583627.html,LAND SURVEY PARTY CHIEF
2019-10-31 08:41,https://delaware.craigslist.org/egr/d/wilmington-mechanical-estimator/7010673221.html,Mechanical Estimator
2019-10-24 11:40,https://delaware.craigslist.org/egr/d/rehoboth-beach-multi-family/7006091214.html,Multi-Family Construction Manager
2019-11-18 19:48,https://lancaster.craigslist.org/egr/d/mountville-mechanical-engineer/7022782378.html,Mechanical Engineer
2019-11-04 18:50,https://lancaster.craigslist.org/egr/d/lititz-instaler-templater-cad-granite/7013731966.html,INSTALER / TEMPLATER CAD Granite
2019-11-03 19:34,https://lancaster.craigslist.org/egr/d/lancaster-new-product-development/7013018629.html,New Product Development Engineer/Chemist
2019-11-03 19:27,https://lancaster.craigslist.org/egr/d/lancaster-senior-electrical-engineer/7013015495.html,Senior Electrical Engineer
2019-11-03 19:24,https://lancaster.craigslist.org/egr/d/lancaster-2-senior-product-design/7013013728.html,2 Senior Product Design Engineers (ME)
2019-10-22 11:11,https://lancaster.craigslist.org/egr/d/lititz-sales-engineer/7004588982.html,Sales Engineer
date,link,text
2019-11-19 06:35,https://philadelphia.craigslist.org/sec/d/warminster-unarmed-security-officer/7022929926.html,Unarmed- Security Officer
2019-11-19 06:06,https://philadelphia.craigslist.org/lab/d/philadelphia-porters-janitorial/7022925593.html,Porters/Janitorial
2019-11-19 06:00,https://philadelphia.craigslist.org/trp/d/philadelphia-lyft-driver-make-1250-in/7022924804.html,"Lyft Driver - Make $1250 in Your First Month, Guaranteed."
2019-11-19 02:00,https://philadelphia.craigslist.org/trp/d/philadelphia-lyft-driver-make-1250-in/7022901910.html,"Lyft Driver - Make $1250 in Your First Month, Guaranteed."
2019-11-19 01:45,https://philadelphia.craigslist.org/csr/d/darby-telemarketer/7022899878.html,Telemarketer
2019-11-18 22:49,https://philadelphia.craigslist.org/fbh/d/philadelphia-host-hostess-wanted/7022859302.html,Host/Hostess Wanted
2019-11-18 22:10,https://philadelphia.craigslist.org/trd/d/hatfield-auto-mechanic-technician/7022846055.html,Auto Mechanic / Technician
2019-11-18 22:00,https://philadelphia.craigslist.org/trp/d/philadelphia-lyft-driver-make-1250-in/7022841933.html,"Lyft Driver - Make $1250 in Your First Month, Guaranteed."
